ID,文章,一致数,総アノテーション数,一致率 (%),,一致率 (6分のいくつか）,Gの一致率の数
74,"A: いやー、今日のランチも美味しかったですね！
B: 本当ですね！私の食欲、一体どこまで続くのか自分でも不思議なくらいです。
A: 分かります、分かります。私もついつい食べ過ぎてしまって。特に明太子とか見ると、もう目が輝いちゃって。
B: あはは、明太子は本当に魅力的ですよね！ご飯が何杯でもいけちゃいます。もう、明太子のためなら地球も…いや、それは言い過ぎですかね。",6,6,100.0%,,,
81,"A: ねぇ、この前さ、あなたの母親から電話があったんだけど、また私の料理の味付けについて色々言われたのよ。
B: え、またですか？もう、母さんには何も言わないでほしいですよね。せっかく頑張って作ってくれてるのに。
A: そうなんだけど、私もさすがにちょっと疲れてきちゃって。あの人の味覚、ちょっと独特だから…。」
B: まあ、でも、母も悪気はないんだと思いますよ。ただ、ちょっと心配性なだけというか。気にしないのが一番ですよ。",6,6,100.0%,,,
84,"A: いやー、うちの猫、本当に可愛いんですよ。朝起きたら、必ず私の顔の横で丸くなって寝てるんです。
B: あら、それは癒されますね！うちも犬がいますが、朝はもう大騒ぎですよ。尻尾ブンブン振りながら飛びついてくるんですから。
A: いいですねぇ！うちの子は、そういう元気な感じじゃなくて、静かに寄り添ってくれるタイプなんです。この前なんて、私が仕事で疲れて帰ってきたら、そっと私の膝の上に乗ってきて、じーっと見つめてくれたんですよ。もう、それがたまらなく嬉しくて、疲れも吹っ飛びました！",6,6,100.0%,,,
92,"A: お昼ご飯、今日は何にしようか悩んでたんですよね。結局、同僚と話して出前を取ることにしたんです。
B: いいですね！うちもたまに頼みますよ。配達されるまでが、ちょっとしたイベントですよね。
A: そうなんです！で、話の流れでアイスクリームの話になったんですが、Bさんはどんなアイスがお好きなんですか？
B: 私は、やっぱり王道のバニラですかね。シンプルだけど、奥深いというか。Aさんはどうですか？
A: 私は、ちょっと変わり種が好きで、最近は抹茶とホワイトチョコレートの組み合わせにハマってるんです。濃厚で美味しいんですよ！",6,6,100.0%,,,
94,"A: いやー、もう年末ですね！〇〇さんは、去年の年末年始はどんな風に過ごされましたか？
B: そうですね、私は去年から一人暮らしを始めたので、実家とは違う、ちょっと寂しい年末年始でしたよ。部屋で一人で年越しそばを食べたりして。
A: あら、そうだったんですね。私は特に変わりなく、家族と過ごしましたよ。そういえば、去年は美味しい味噌ラーメン屋さんにすごくハマっていて、色々な店を食べ歩きました。それが一番の思い出かもしれません。",6,6,100.0%,,,
8,"A: 最近、YouTubeでおすすめに懐かしい曲がたくさん出てくるんですよ。ついつい見入ってしまいますね。
B: 分かります！私も昔のJ-POPばかり見てて、時間が溶けていきます。あれ、なんか作業進んでる？
A: いや、全然です。むしろ、このままだと寝不足になりそうです。でも、もう一本だけ…って思っちゃうんですよね。",5,6,83.3%,,,
15,"A: 最近、野菜の値段が本当に高くなりましたね。スーパーに行くたびに驚いてしまいます。
B: 本当ですよね。特に葉物野菜は、ちょっと買うのをためらってしまいますよ。
A: それで、少しでも節約しようと思って、家で料理を頑張ろうとしたんですが、なかなかうまくいかなくて。
B: え、そうなんですか？ どんなことで？
A: この前、初めて自分で麻婆豆腐を作ってみたんですけど、なんか味が薄くて、生姜とニンニクの風味も足りない気がして…。結局、途中で市販の素を足してしまいました。",5,6,83.3%,,,
16,"A: 先日はディズニーランドに行かれたそうですね！満喫されましたか？
B: ええ、おかげさまで。アトラクションもパレードも、全部楽しめましたよ。本当に夢のような時間でした。
A: それは何よりです！私は最近、まったく旅行に行けてないので羨ましい限りです。次はどこか行きたい場所とかありますか？
B: そうですねぇ、次はハワイでのんびり過ごすのもいいなと思っています。優雅なリゾートで、美味しいものをたくさん食べたいですね。",5,6,83.3%,,,
21,"A: 最近のホラー映画って、昔に比べて怖くなくなった気がしませんか？
B: そうですね。昔は本当に心臓が飛び出るような怖さがありましたが、今は演出が派手になっただけで、本質的な怖さは薄れたかもしれません。
A: でも、意外とホラー映画って、適度な恐怖でストレス発散になるっていう健康法もあるみたいですよ。血圧が上がって、それが良い刺激になるとか。",5,6,83.3%,,,
22,"A: 今日の夕食、何にしましょうか。もうすっかり秋めいてきましたし、美味しいものがたくさんありますね。
B: そうですね。新米も炊きたてで美味しいですし、鮭の塩焼きなんてどうでしょうか。秋の味覚の王道ですよね。
A: 鮭の塩焼き、いいですね！それに、きのこの炊き込みご飯なんて合わせたら最高じゃないですか？
B: それは素晴らしいアイデアですね！きのこの香りが食欲をそそりますし、新米との相性も抜群でしょう。",5,6,83.3%,,,
28,"A: 最近、ダイエットのためにグラノーラを朝食に食べているんですよ。
B: へえ、グラノーラですか！それは素晴らしいですね。どんな効果を期待されていますか？
A: はい、食物繊維が豊富で満腹感が得られると聞いたので、少しでも痩せられたらと思っています。
B: なるほど。でも、グラノーラって結構甘かったり、カロリーが高かったりするものもありますよね？",5,6,83.3%,,,
32,"A: お盆休み、どちらかへお出かけのご予定はありますか？
B: まだ具体的には決まっていないのですが、滋賀県あたりを考えているんです。琵琶湖とか、近江牛とか、美味しそうですし。
A: いいですね！滋賀県は自然も豊かで、歴史的な街並みも残っていますよね。彦根城も立派ですし、黒壁スクエアも楽しめそうです。
B: ええ、そうなんですよ。ただ、お盆なのでどこも混雑するでしょうね…。ちょっと憂鬱になってきました。",5,6,83.3%,,,
53,"A: 最近、新しく入ってきた人が、先輩にもタメ口で話していて少し気になっています。
B: あら、それは驚きましたね。確かに、職場では最低限の礼儀は必要だと思います。
A: はい。でも、彼なりに一生懸命やっているようにも見えるので、注意するのも難しいな、と。
B: なるほど、本人の意図もあるのかもしれませんね。もしかしたら、それが彼の「一生懸命さ」の現れなのかもしれませんね。",5,6,83.3%,,,
66,"A: 最近の豪雨、本当に怖いですよね。テレビで見るたびに心配になります。
B: ええ、本当に。いつどこで何が起こるか分からないですから、備えはしておかないといけませんね。
A: そうですよね。でも、こういう時だからこそ、気分転換も大事かと思いまして、この暑さの中、アイスでも食べに行きませんか？",5,6,83.3%,,,
77,"A: そういえば、子供の頃はどんな夢を見ていましたか？
B: 私は、可愛いケーキ屋さんになりたかったんですよ。キラキラした飾り付けをして、みんなに喜んでもらえるケーキを作るのが憧れでした。
A: わかります！私も、お母さんと一緒にクッキーを焼いたり、誕生日ケーキをデコレーションしたりするのが大好きでした。なんか、特別な気分でしたよね。
B: ええ、本当にそうでした。あの頃は、きっと毎日が夢みたいに楽しかったんでしょうね。",5,6,83.3%,,,
85,"A: 最近、オンライン飲み会とか全然しなくなりましたよね。昔はしょっちゅうやってたのに。
B: 本当ですね。なんか、あの頃は時間も気にせず、ずっと話し込んじゃってましたもん。電話もよくしてましたよね。
A: そうそう！終電とか全く関係ないから、ついつい夜更かししちゃって。懐かしいなぁ。",5,6,83.3%,,,
90,"A: 最近、スパイスカレー作りにすごくハマってるんですよ！色々なスパイスを調合するのが楽しいですね。
B: へぇ、いいですね！私も先日、母に教わったレシピで作ってみたんです。やっぱり定番の味は落ち着きますね。
A: お母様の味、素敵ですね！私はちょっと冒険して、珍しいスパイスを色々試しているんです。作るたびに新しい発見があって。
B: なるほど。新しい発見、素晴らしいですね。私は、母が長年愛用しているスパイスセットの香りを再現するのに苦労しましたよ。",5,6,83.3%,,,
91,"A: 最近、トンボもセミも、昔ほど見かけなくなりましたね。
B: そうですね。子供の頃はもっとたくさんいましたよね。山とか行くと、セミがブンブン鳴いていて、捕まえようとしたりしたものです。
A: わあ、Bさんはセミに触れるのが平気なんですね！私は、あの羽の震えとか、急に飛ぶのが怖くて…。
B: ええ、平気というより、むしろ興味があって触ってみたいくらいでしたね。あの独特の感触が面白くて。",5,6,83.3%,,,
93,"A: 昨日、古い神社にお参りに行ったんですが、誰もいないはずなのに、なぜか子供の声のようなものが聞こえたんです。
B: え、それは怖いですね！どんな声だったんですか？
A: それが、はっきりと聞こえるわけではないんですが、かすかに「遊ぼうよ」みたいな、そんな感じがして…。ちょっとゾッとしました。
B: なるほど、それは不思議な体験でしたね。うちでも、仏壇から急に線香の匂いがすることがあって、それがまた、すごくリアルなんですよ。",5,6,83.3%,,,
98,"A: いやー、今年の夏は本当に暑いですね。食欲も全然なくて困っています。
B: 本当ですね。私も夏バテ気味で、あまりしっかりしたものは食べたくない気分です。
A: でも、そんな時こそ、スタミナのつくものが食べたくなりませんか？例えば、カレーとか。
B: カレーですか！いいですね。私は家で作るとき、隠し味にチョコレートを少し入れるのがこだわりなんですよ。コクが出て美味しいんです。",5,6,83.3%,,,
101,"A: いやー、夏の夜空って本当に綺麗ですよね。今年はペルセウス座流星群もよく見えるみたいですし。
B: ええ、そうなんですよ！私も昨晩、ベランダに出てみたんです。まさか、あんなにたくさん見えるとは思いませんでした。
A: おお、それは素晴らしいですね！どれくらい見えましたか？まさか、数えるのが追いつかないほどでしたか？
B: ええ、もう、本当にもう、一瞬も目を離せないくらい、次から次へと、すごい数でしたよ！",5,6,83.3%,,,
2,"A: もうすぐお盆ですね。〇〇さんは、ご実家には帰省されるのですか？
B: ええ、今年は久しぶりに両親とゆっくり過ごそうと思っています。Aさんは、何かご予定があるのですか？
A: 私は、近場でお墓参りをするくらいになりそうです。昔ながらのお墓って、維持も大変ですし、将来のことを考えると少し悩ましいですよね。
B: そうですね。最近は樹木葬とか、色々な選択肢が増えてきていると聞きます。無宗教で、後継者も気にせず済むような形も、合理的かもしれませんね。",4,6,66.7%,,,
6,"A: いやー、今日のこの涼しさ、本当にありがたいですね。このまま秋に突入してほしいくらいです。
B: 本当ですね！私は暑がりなので、夏が終わったばかりですが、もう冬が待ちきれないくらいです。Aさんは暑さ寒さ、どちらが苦手ですか？
A: 私はどちらかというと寒がりなので、夏が過ぎるのは少し寂しい気もしますが、この涼しさは心地よいですね。そういえば、夏休みの宿題って、毎年ギリギリまでやってました？
B: あはは、懐かしいですね！私は毎年、計画的に終わらせていましたよ。読書感想文も、夏休みが始まる前に読み終わって、すぐに取り掛かっていました。",4,6,66.7%,,,
9,"A: 最近、古本屋巡りにハマってるんです。思わぬ掘り出し物が見つかるのが楽しいんですよね。
B: わかります！私もよく行きますよ。特に昔の文学作品とか、絶版になってる本を探すのが好きなんです。
A: それはいいですね！私は直感で「これだ！」と思った表紙やタイトルで選ぶことが多いです。たまに全然期待外れなこともありますけど（笑）。
B: ふふ、それもまた一興ですよね。私はあらかじめ読みたい本を決めてから行くことが多いかな。そうしないと、迷子になっちゃいそうで。",4,6,66.7%,,,
14,"A: 最近、新しいスマートフォンに変えたんですよ。OSが以前と違って、ちょっと戸惑っています。
B: へえ、そうなんですね。どちらのOSにされたんですか？私、iPhoneとAndroid、両方使った経験があるので、もしよろしければご相談に乗りますよ。
A: ありがとうございます！実はAndroidにしたんです。iPhoneに慣れていたので、色々と設定が複雑で…。
B: Androidですか！なるほど。確かにiPhoneとは操作感が違いますよね。でも、カスタマイズ性が高いから、慣れると便利ですよ。",4,6,66.7%,,,
17,"A: 先日、友人と韓国へ旅行に行ったのですが、お土産にキムチを買ってきたんですよ。
B: へぇ、キムチか。さすがに本場の味は違うだろうな。美味しかった？
A: はい、とても美味しくて、もうほとんどなくなってしまいました。",4,6,66.7%,,,
24,"A: はじめまして、〇〇です。今日はお忙しいところ、お越しいただきありがとうございます。
B: こちらこそ、お招きいただき光栄です。△△と申します。少し緊張しています（笑）。
A: 私もです！でも、こうしてお話できて嬉しいです。普段はあまり人見知りしないのですが、初対面だと少しドキドキしますね。
B: 分かります！私はさらに…。「知恵袋」を読み漁って、会話の引き出しを増やそうと試みるタイプです。今日はどんなお話になるか楽しみです。",4,6,66.7%,,,
27,"A: いやー、このコンビニの新商品、すごいですよね。最近スイーツも充実してきましたね。
B: 本当ですね。特にあの新作のモンブラン、見た目も豪華で気になっています。Aさんはもう試されましたか？
A: ええ、昨日買ってきましたよ！いやー、これがもう、口に入れた瞬間に溶けるような上品な甘さで、まさに至福でしたね。値段もお手頃ですし、これはリピート確定です。",4,6,66.7%,,,
31,"A: いやー、今年の夏も暑いですね。もう溶けてしまいそうです。
B: 本当ですね。こんな暑さでは、外に出る気にもなれませんよ。クーラーの効いた部屋でゴロゴロするのが一番ですね。
A: 分かります。でも、せっかくの夏休みですから、どこか涼しいところへ行きたい気持ちもあるんですよね。例えば、高地とか、滝のある場所とか。
B: ああ、いいですね！自然を満喫するのも素敵だと思います。涼しくて、リフレッシュできそうですもんね。",4,6,66.7%,,,
34,"A: おはようございます。今日の朝食は何でしたか？私はいつも通り、ヨーグルトとフルーツです。
B: おはようございます。私はですね、最近ちょっと怠けてしまって、パンとコーヒーだけになってしまいました。運動も全然できていないんです。
A: あら、そうですか。でも、そんなに急に変わらなくても大丈夫ですよ。無理せず、少しずつ戻していきましょう。
B: ありがとうございます。そうですね、頑張ります。でも、最近ちょっと体重が増えてしまって、ズボンがきついです。",4,6,66.7%,,,
37,"A: 最近、朝のコーヒーにアーモンドミルクを入れるようになったんです。なんだか体に良さそうな気がして。
B: へぇ、そうなんですね。私はいつも通りブラックコーヒーですが、アーモンドミルクも美味しそうですね。
A: ええ、少し甘みも加わって、まろやかになるんですよ。健康にも良いって聞きますし。
B: なるほど。健康意識が高いんですね。私も見習わないといけないな。",4,6,66.7%,,,
39,"A: 最近、何か面白いドラマとか見られましたか？
B: ああ、いくつかありますよ。特に海外ドラマにハマっていて。最近、あの話題のSFシリーズを全話一気見しちゃいました。
A: すごいですね！私も見ようか迷っていたんですよ。やっぱり、面白かったですか？
B: ええ、もう最高でした。展開が読めなくて、夜更かししっぱなしでしたよ。",4,6,66.7%,,,
45,"A: 最近、なんだか不思議な話に惹かれるんですよね。特に、ちょっと怖いけど、どこか現実味のあるような話とか。
B: わかります。日常では味わえないスリルとか、非日常への好奇心をくすぐられる感じが、たまらないんですよね。
A: そうなんです！それで、そういう話を聞いたり読んだりすると、妙に気分転換になるというか。
B: ええ、本当に心霊体験とか聞くと、自分の日常がすごく平和で安全だと実感できますしね。",4,6,66.7%,,,
47,"A: 今日の昼食、台湾風まぜそば美味しかったですね！
B: ええ、私も満足しました。あのピリ辛さが食欲をそそりますよね。
A: それで、普段はどんなラーメンがお好きなんですか？
B: うーん、私はやっぱり昔ながらの醤油豚骨ラーメンが一番ですね。シンプルで飽きない味です。",4,6,66.7%,,,
48,"A: こんにちは、Bさん。週末はいかがでしたか？何か面白いことはありましたか？
B: こんにちは、Aさん。特に変わったことはなかったですよ。ただ、昨晩、すごく不思議な夢を見たんです。
A: あら、どんな夢ですか？聞かせてください。
B: はい、なんと、私が宇宙飛行士になって、月面でラーメン屋を開いている夢でした。お客さんは宇宙人ばかりで、みんな日本語で注文してくるんです。不思議なものですね。",4,6,66.7%,,,
49,"A: いやー、最近の天気、本当に読めないですよね。昨日なんて、夏みたいな日差しだったのに、今日はもう肌寒いですもん。
B: 本当ですね。こんなに急激に気温が変わると、地球温暖化とか、そういう影響なのかなって思ってしまいますよ。
A: そうですよね。色々なニュースで、異常気象が増えているって聞きますし、無視できない問題ですよね。",4,6,66.7%,,,
51,"A: うーん、今日の夕食、何にしようか全然決まらないんですよね。
B: そうですか。何か食欲があまりない感じでしょうか？
A: そうなんです。あまり重たいものは食べたくなくて。でも、何か食べないと…。
B: でしたら、さっぱりとした麺類はいかがでしょうか。例えば、冷たいパスタとか、素麺とか。",4,6,66.7%,,,
55,"A: いやー、今年の夏も暑いですね。ついつい冷たいものばかり口にしてしまいます。
B: 本当ですね。でも、夏といえばやっぱり旬の味覚が楽しみです。スイカとか、とうもろこしとか。
A: 分かります！特に、採れたてのとうもろこしをかじりながら夕涼みなんて最高ですよね。甘くてみずみずしくて。
B: ええ、もう、想像しただけでよだれが出そうです。あんなに美味しいものが他にあるでしょうか。",4,6,66.7%,,,
65,"A: いやー、昨日のレース、すごかったですね！ゴールドシップ、やっぱり期待を裏切りませんでした。
B: 本当ですね！あの豪快な末脚、何度見ても鳥肌が立ちますよ。まさに皇帝でした。
A: ええ、どんなに不利な状況でも、あの馬は必ず何かやってくれますから。応援していて本当に楽しいです。
B: そうなんですよね。あの気性難も、なんだかんだで魅力の一部になってしまっていますね。個性的で最高です。",4,6,66.7%,,,
75,"A: いやー、回転寿司って楽しいですよね。ついつい食べ過ぎちゃいます。
B: 本当にそうですね。私はやっぱり、サーモンが一番好きで、最初に何皿か頼んじゃいますね。
A: 分かります！サーモンは安定の美味しさですよね。私は最近、炙りエンガワにハマっていて、とろけるような食感がたまらないんです。
B: へぇ、炙りエンガワですか！それは知りませんでした。今度試してみます。私はやっぱり、定番のマグロ赤身と、あとはアボカド炙りも意外といけるんですよ。",4,6,66.7%,,,
76,"A: うーん、なんか腕がパンパンなんだよな。昨日、久しぶりにコントローラー握りすぎたかな？
B: え、まさか！ゲームで筋肉痛になるなんて、どれだけ激しいゲームをプレイされたんですか？
A: いやいや、そんな激しいわけじゃなくてね。昔のRPGとか、レベル上げでひたすらボタン連打してた頃を思い出して、つい夢中になっちゃったんだよ。あの頃はゲームボーイとか懐かしいな。",4,6,66.7%,,,
97,"A: 来週の旅行の計画、そろそろ詰めないとですね。Bさんはもうだいぶ進んでいますか？
B: ええ、おかげさまで。行きたい場所のリストアップは終わっていて、あとは交通手段と宿泊先をどうするか、という段階ですね。Aさんはどうですか？
A: 私はまだ漠然としているんです…。どこか良い場所があれば教えてほしいです。Bさんはいつも情報収集がお上手ですから、何か秘訣でもあるんですか？
B: 秘訣なんて大げさですよ。いつも通り、ネットで評判の良いところをいくつか見て、あとは直感で決めるだけです。特に難しいことはしていませんよ。",4,6,66.7%,,,
103,"A: いやー、今年の夏は本当に暑いですね。もう耐えられませんよ。
B: 本当ですね。私も携帯扇風機を手放せなくなりました。これがないと外に出られませんよ。
A: 分かります。でも、なんだかんだ言って、夏の風物詩って良いものですよね。団扇の涼しさとか、夜空を彩る花火とか、風情がありますもん。",4,6,66.7%,,,
4,"A: 先日行ったハワイ旅行、本当に素晴らしかったですね。青い海と白い砂浜、最高でした。
B: ええ、私もです。特にダイヤモンドヘッドからの眺めは忘れられません。あんなに感動したのは久しぶりでしたよ。
A: あの絶景を眺めていると、日常の悩みなんてちっぽけに感じますよね。またすぐにでも行きたくなってしまいます。
B: そうですね。次はいつ行けるか、今から計画を練らないと、あの感動が薄れてしまいそうです。",3,6,50.0%,,,
11,"A: この間、100円ショップで買ったこのマグカップ、デザインが可愛くて気に入ってるんですよ。
B: へえ、それは良かったですね。私も最近、そこで買ったキッチン用品が意外と使いやすくて驚きましたよ。
A: ですよね！100円なのに、結構しっかりしていて、驚くことばかりです。
B: ええ、本当に。なんだかんだ言って、100円ショップにはお世話になりっぱなしですよね。",3,6,50.0%,,,
18,"A: 最近、ふるさと納税のことばかり考えてしまうんですよ。楽天のキャンペーンがまた始まって、すごくお得なんです。
B: へぇ、そうなんですね。私はまだ全然手をつけていなくて。どんな返礼品が人気なんですか？
A: いやー、もう色々と目移りしちゃって！お肉とか海鮮とか、普段なかなか買えないものがたくさんあって。楽天ポイントもすごく貯まるから、実質タダみたいなもんですよ、感覚的には。
B: それはまた、ずいぶんと賢いお買い物計画ですね。まるで節約のプロフェッショナルみたいです。",3,6,50.0%,,,
19,"A: 最近購入されたダイソンのコードレス掃除機、使い心地はいかがですか？吸引力はやはりすごいのでしょうか。
B: ええ、本当によく吸い取ってくれますよ。特にペットの毛とか、あっという間になくなります。ただ、バッテリーの持ちが思ったより短いのが少し気になりますね。
A: なるほど、バッテリーですか。それでも、コードレスの便利さは格別ですよね。私は次に、自動で掃除してくれるルンバが気になっているんです。
B: ルンバ、いいですね！我が家も検討しているんですよ。でも、家具の配置とか、段差とか、ちゃんと掃除してくれるのか少し心配で。",3,6,50.0%,,,
20,"A: いやー、もうこんな時間ですね。子供の頃って、一日の感覚がもっと長かった気がします。
B: 本当にそうですね。夏休みなんて、永遠に続くかと思っていましたよ。
A: あと、近所の人とか、知らない大人にも気軽に話しかけられましたよね。今みたいに、すぐスマホ見たりしないから、余計にそうだったのかもしれません。",3,6,50.0%,,,
25,"A: 子供の頃、どんな絵本が好きでしたか？私は「ぐりとぐら」が大好きでしたね。あのカステラ、本当に美味しそうでした。
B: わかります！私も「ぐりとぐら」はよく読みました。あと、「三びきのやぎのがらがらどん」も印象深いです。あのトロルが怖かったですけど、最後はスカッとしましたね。
A: ああ、懐かしいですね！あの「がらがらどん」の歌もつい口ずさんでしまいます。子供の頃の記憶って、本当に鮮明に残るものですね。",3,6,50.0%,,,
26,"A: AEさん、こんにちは。最近、髪型を変えられたのですか？とても素敵です。
B: ADさん、ありがとうございます。ええ、少しだけカットしてもらいました。なんだか美容室に行くのが久しぶりで、気分転換になりましたよ。
A: そうなんですね！私は最近、在宅勤務が続いているので、なかなか美容室に行く機会がなくて。髪が伸び放題になってしまっています。
B: あら、それは大変ですね。でも、ADさんもきっと伸びてもお似合いだと思いますよ。芸術的な雰囲気が出て、ますます個性的になるんじゃないでしょうか。",3,6,50.0%,,,
41,"A: いやー、今日の夜は涼しくて助かりますね。クーラーをつけずに眠れそうです。
B: 本当ですね。電気代も気になりますし、自然の風が一番です。そういえば、もうすぐ花火大会の時期ですね！
A: そうなんですよ！毎年、どこから見ようか迷うんですよね。人混みは苦手なんですけど、やっぱりあの夜空に咲く大輪の花は感動しますから。
B: わかります！あの壮大な光景を見ると、夏の暑さも吹き飛びますよね。今年はどこか穴場スポットでも探してみましょうか。",3,6,50.0%,,,
42,"A: いやあ、最近の野菜の値段、本当にびっくりしますね。キュウリなんて、もう高級品ですよ。
B: 本当ですね。それに、ウナギもいつの間にか手の届かない高級食材になってしまいました。夏のスタミナ源なのに、困ったものです。
A: そうなんですよ。昔はもっと気軽に食べられたのに。この調子だと、来年の夏はサラダもウナギも贅沢品になってしまいそうですね。",3,6,50.0%,,,
56,"A: 最近、新しい趣味を見つけたんです。DIYで木工を始めたんですよ。やすりで木を磨いていると、無心になれて良いですね。
B: へえ、DIYですか！それはすごいですね。どんなものを作られたんですか？
A: 最初は簡単な棚を作ってみたのですが、だんだん凝ってきて、今はちょっとした家具も作れるようになりました。休日はほとんど工房にこもりっきりです。
B: それは素晴らしいですね。休みのほとんどを費やすほど熱中されているなんて、本当に尊敬します。きっと、ものすごく効率的で生産的な休日を過ごされているんでしょうね。",3,6,50.0%,,,
57,"A: 最近、週末はもっぱら陶芸教室に通ってるんです。土をこねていると、無心になれていいんですよね。
B: それは素敵ですね！私も最近、フラワーアレンジメントを始めたんですよ。お花を触っていると、心が癒やされます。
A: お互い、没頭できる趣味があって幸せですね。そういう時間があると、日常の疲れも吹き飛びます。
B: 本当にそう思います。こうして、何かを作ることに集中できる時間があるのは、最高ですよね。",3,6,50.0%,,,
63,"A: 来週、健康診断なんですけど、前日の食事、どうしようか悩んでいまして。
B: あら、そうなんですね。何か特別な食事制限があるんですか？
A: ええ、基本的には消化の良いものを、と言われています。なので、おかゆとかうどんにしようかと考えています。
B: なるほど。健康診断のために、そんなにストイックに頑張っていらっしゃるんですね。感心します。",3,6,50.0%,,,
67,"A: 最近、ジンクスとかルーティーンについて考えることが多くて。何か信じているものとかありますか？
B: そうですね。昔から、試合前に必ず同じ音楽を聴くというルーティーンはありますよ。験担ぎみたいなものでしょうか。
A: それはいいですね！なんか落ち着きそうです。私も、大事なプレゼン前は必ず緑色の服を着るようにしています。
B: へぇ、緑色ですか。きっと、その服があなたを成功へと導いてくれているのでしょうね。",3,6,50.0%,,,
